RA,FASE_NUM,TEMPO_PROGRAMA,DEFASAGEM_ANALISE,STATUS_DEFASAGEM_2024,IDA,IEG,IAA_MODELO,IPS,IPP,IPV,INDE_2024,PEDRA_2024,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,PERFIL_RADAR,RISCO_OCULTO,PONTO_CEGO,STATUS_MODELO
RA-1482,2,0,-1,Com defasagem,0.0,5.0,8.502,7.51,7.5,6.8725,5.2257,Quartzo,0.9377994201794962,46,95.73,9,95.68,Muito alta,Crítico persistente,False,False,Elegível
RA-1301,0,0,-1,Com defasagem,7.0,2.9166666665000003,9.502,2.51,7.5,6.0,5.6345333333,Quartzo,0.9372368370412749,47,95.64,15,92.86,Muito alta,Crítico persistente,False,False,Elegível
RA-716,1,2,-1,Com defasagem,5.75,5.5335968375,9.002,7.51,6.71875,5.7875,6.2372943675000005,Ágata,0.9367290706982664,48,95.54,15,92.43,Muito alta,Crítico persistente,False,False,Elegível
RA-841,2,2,-1,Com defasagem,3.25,6.3272311215000006,10.002,7.51,7.03125,5.83,6.035771224300001,Ágata,0.9331684015043004,49,95.45,10,95.14,Muito alta,Crítico persistente,False,False,Elegível
RA-1353,0,0,-1,Com defasagem,3.0,9.5,8.002,7.51,6.875,6.08,6.454700000000001,Ágata,0.9323555329239969,50,95.35,16,92.35,Muito alta,Crítico persistente,False,False,Elegível
RA-1146,3,1,-2,Com defasagem,2.0,5.017209691,10.002,6.88,6.25,5.883333333,5.3933086048000005,Quartzo,0.9321399466501079,51,95.26,9,96.21,Muito alta,Crítico persistente,False,False,Elegível
RA-620,3,3,0,Sem defasagem,2.5,3.984126984333333,8.334,7.51,7.083333333,5.886666667,5.766892063566667,Quartzo,0.9318436058052503,52,95.16,10,95.73,Muito alta,Risco oculto,True,False,Elegível
RA-919,0,1,-2,Com defasagem,5.25,4.692513369,7.002,6.255,6.875,6.49,5.799702673800001,Quartzo,0.9309462214952375,53,95.07,17,91.84,Muito alta,Crítico persistente,False,False,Elegível
RA-1147,3,1,-1,Com defasagem,3.1666666666666665,6.125925926,8.751,8.755,6.25,5.495,5.833118518533334,Quartzo,0.9308082060237243,54,94.97,11,95.26,Muito alta,Crítico persistente,False,False,Elegível
RA-568,3,3,-2,Com defasagem,5.166666666666667,3.2619047620000003,7.917,8.13,6.5625,5.496,5.545864285733334,Quartzo,0.9299181906942426,55,94.88,12,94.79,Muito alta,Crítico persistente,False,False,Elegível
RA-636,2,2,0,Sem defasagem,5.25,4.9043062200000005,8.002,7.51,6.875,5.553333333,6.3802279106,Ágata,0.9297317751408146,56,94.78,11,94.59,Muito alta,Risco oculto,True,False,Elegível
RA-1358,0,0,0,Sem defasagem,4.0,7.380952381,9.168,5.01,6.25,6.17,6.552990476200001,Ágata,0.9287780245154854,57,94.69,18,91.33,Muito alta,Risco oculto,True,False,Elegível
RA-1116,3,1,-1,Com defasagem,2.333333333333333,3.3555555556666667,0.0,6.26,5.125,5.066,3.7894777778,Quartzo,0.9287400942205079,58,94.59,13,94.31,Muito alta,Crítico persistente,False,False,Elegível
RA-1360,0,0,0,Sem defasagem,5.0,7.0018115945,8.502,7.51,5.625,6.42,6.8480623189,Ágata,0.9281669386992674,59,94.5,19,90.82,Muito alta,Risco oculto,True,False,Elegível
RA-851,1,2,-1,Com defasagem,6.0,7.3221343875,9.002,5.63,5.625,5.106666667,6.2114602109,Ágata,0.9264768736882479,60,94.4,16,91.89,Muito alta,Crítico persistente,False,False,Elegível
RA-665,2,2,-1,Com defasagem,4.75,5.068181818,8.334,5.63,7.5,5.443333333,5.698703030200001,Quartzo,0.9245853467339038,61,94.31,12,94.05,Muito alta,Crítico persistente,False,False,Elegível
RA-1564,4,0,-1,Com defasagem,2.1666666666666665,4.942067736333334,8.334,6.885,5.75,5.2875,5.0761468806000005,Quartzo,0.9243577874563297,62,94.21,2,99.13,Muito alta,Crítico persistente,False,False,Elegível
RA-1136,3,1,-1,Com defasagem,1.6666666666666667,4.547899159666667,8.751,8.135,7.5,6.383333333,5.458179831866667,Quartzo,0.9242478893565894,63,94.12,14,93.84,Muito alta,Crítico persistente,False,False,Elegível
RA-1446,1,0,0,Sem defasagem,0.0,6.6501976285,8.002,6.26,7.291666667,7.075,5.9004061924,Quartzo,0.9228939790321999,64,94.02,17,91.35,Muito alta,Risco oculto,True,False,Elegível
RA-762,2,2,-2,Com defasagem,3.75,6.4239130435,10.002,6.26,6.5625,5.7525,5.9677326087,Quartzo,0.9192669478488825,65,93.93,13,93.51,Muito alta,Crítico persistente,False,False,Elegível
RA-1095,3,1,0,Sem defasagem,2.333333333333333,7.84502924,7.5,7.51,5.46875,5.125,6.108547514666667,Ágata,0.9183612103097575,66,93.83,15,93.36,Muito alta,Risco oculto,True,False,Elegível
RA-1112,3,1,0,Sem defasagem,4.0,9.02791197,9.585,8.135,5.375,4.705,6.856082394,Ágata,0.9182622234310628,67,93.74,16,92.89,Muito alta,Risco oculto,True,False,Elegível
RA-546,3,3,0,Sem defasagem,4.666666666666667,3.783838383666666,5.832,8.135,5.15625,5.5,5.702426010066667,Quartzo,0.9181938503521567,68,93.64,17,92.42,Muito alta,Risco oculto,True,False,Elegível
RA-916,0,1,-2,Com defasagem,2.75,7.3320158105,8.502,2.51,6.5625,6.16,5.5058531621,Quartzo,0.9181102882698158,69,93.55,20,90.31,Muito alta,Crítico persistente,False,False,Elegível
RA-1097,3,1,-1,Com defasagem,3.0,4.849791144666667,10.002,6.25,6.041666667,5.88,5.475324895633334,Quartzo,0.9173148104733502,70,93.45,18,91.94,Muito alta,Crítico persistente,False,False,Elegível
RA-961,1,1,-1,Com defasagem,5.5,8.8923395445,9.002,6.26,5.9375,5.155,6.529417908900001,Ágata,0.9173027679624203,71,93.36,18,90.81,Muito alta,Crítico persistente,False,False,Elegível
RA-905,0,1,-2,Com defasagem,3.0,7.7794117645,9.002,7.51,6.875,6.99,6.3925823529,Ágata,0.9170461838359134,72,93.26,21,89.8,Muito alta,Crítico persistente,False,False,Elegível
RA-1130,3,1,0,Sem defasagem,4.333333333333333,6.278431372666667,8.751,8.13,6.875,5.33,6.563952941199999,Ágata,0.9170157980536316,73,93.17,19,91.47,Muito alta,Risco oculto,True,False,Elegível
RA-529,2,3,-1,Com defasagem,4.25,6.607142857,7.002,4.38,4.791666667,4.886666667,5.2661285715,Quartzo,0.91584846900111,74,93.07,14,92.97,Muito alta,Crítico persistente,False,False,Elegível
RA-1115,2,1,0,Sem defasagem,6.25,4.2676767675,8.002,7.51,7.5,5.826666667,6.570068686900001,Ágata,0.9154983763543791,75,92.98,15,92.43,Muito alta,Risco oculto,True,False,Elegível
RA-422,3,2,-1,Com defasagem,2.833333333333333,6.157407407333333,7.5,7.51,6.458333333,5.5,5.544981481433334,Quartzo,0.9149125142548346,76,92.88,20,91.0,Muito alta,Crítico persistente,False,False,Elegível
RA-1489,2,0,-1,Com defasagem,5.0,5.793478261000001,9.002,6.26,6.666666667,5.663333333,5.9842289855000015,Quartzo,0.9148356529432893,77,92.79,16,91.89,Muito alta,Crítico persistente,False,False,Elegível
RA-1079,3,1,0,Sem defasagem,6.333333333333333,4.516498316333333,7.5,2.51,4.21875,4.1625,5.4253413299333335,Quartzo,0.9135320463591629,78,92.69,21,90.52,Muito alta,Risco oculto,True,False,Elegível
RA-606,2,2,0,Sem defasagem,3.25,7.613636363499999,8.502,6.885,8.125,5.606666667,6.645260606100001,Ágata,0.9134923073614667,79,92.6,17,91.35,Muito alta,Risco oculto,True,False,Elegível
RA-1470,2,0,-1,Com defasagem,5.0,6.35610766,8.002,6.26,6.875,5.4125,5.967421532000001,Quartzo,0.9134841143212032,80,92.5,18,90.81,Muito alta,Crítico persistente,False,False,Elegível
RA-960,1,1,-1,Com defasagem,3.0,8.095238095,0.0,7.51,7.5,5.33,5.286047619,Quartzo,0.9125936844602471,81,92.41,19,90.27,Muito alta,Crítico persistente,False,False,Elegível
RA-774,0,2,-1,Com defasagem,3.75,6.3928571430000005,10.002,2.51,6.25,6.405,5.685771428600001,Quartzo,0.9125154274842802,82,92.31,22,89.29,Muito alta,Crítico persistente,False,False,Elegível
RA-1060,2,1,0,Sem defasagem,3.25,6.0,9.585,6.26,7.8125,6.163333333,6.448416666600001,Ágata,0.9113791718001144,83,92.22,19,90.27,Muito alta,Risco oculto,True,False,Elegível
RA-973,0,1,-2,Com defasagem,3.75,9.318181818,10.002,7.51,7.5,6.585,6.9318363636,Ágata,0.9110983086009992,84,92.13,23,88.78,Muito alta,Crítico persistente,False,False,Elegível
RA-1275,0,0,0,Sem defasagem,8.0,8.6666666665,10.002,6.26,5.625,5.446666667,7.611366666700001,Ametista,0.9109939546167239,85,92.03,24,88.27,Muito alta,Risco oculto,True,True,Elegível
RA-792,1,2,-1,Com defasagem,3.25,5.2865612650000005,8.502,7.51,8.125,7.075,6.036012253,Ágata,0.9095141198981707,86,91.94,20,89.73,Muito alta,Crítico persistente,False,False,Elegível
RA-1479,2,0,0,Sem defasagem,4.25,6.1965811965,8.502,7.51,7.1875,6.0325,6.615766239300001,Ágata,0.9093957154241459,87,91.84,20,89.73,Muito alta,Risco oculto,True,False,Elegível
RA-587,1,2,-2,Com defasagem,6.25,7.380952381,9.002,7.51,7.916666667,5.74,6.817057142900001,Ágata,0.9091238542239374,88,91.75,21,89.19,Muito alta,Crítico persistente,False,False,Elegível
RA-801,1,2,-1,Com defasagem,8.0,5.75,9.002,7.51,6.25,5.745,6.6752,Ágata,0.9088065038726206,89,91.65,22,88.65,Muito alta,Crítico persistente,False,False,Elegível
RA-1379,0,0,-1,Com defasagem,7.25,8.6842105265,9.502,3.755,5.9375,5.16,6.638292105300001,Ágata,0.908402250465632,90,91.56,25,87.76,Muito alta,Crítico persistente,False,False,Elegível
RA-1304,0,0,-2,Com defasagem,6.0,7.9575163395,9.002,8.135,7.8125,6.493333333,7.085119934500001,Ametista,0.9071943658251965,91,91.46,26,87.24,Muito alta,Crítico persistente,False,False,Elegível
RA-1423,1,0,-1,Com defasagem,5.75,5.3125,8.502,7.51,7.8125,6.5425,6.403450000000001,Ágata,0.9066953170632011,92,91.37,23,88.11,Muito alta,Crítico persistente,False,False,Elegível
RA-605,3,3,0,Sem defasagem,2.6666666666666665,6.194444444333333,7.5,6.885,7.0,5.534,6.0175222222,Ágata,0.9064580064824992,93,91.27,22,90.05,Muito alta,Risco oculto,True,False,Elegível
RA-897,0,1,-1,Com defasagem,6.0,2.7525252525,7.002,2.51,6.875,6.66,5.2212050505,Quartzo,0.9061907215873712,94,91.18,27,86.73,Muito alta,Crítico persistente,False,False,Elegível
RA-643,2,2,-1,Com defasagem,4.5,6.8660287085,9.002,7.51,8.125,5.826666667,6.402239075100001,Ágata,0.9048805992057403,95,91.08,21,89.19,Muito alta,Crítico persistente,False,False,Elegível
