RA,PEDRA_2022,PEDRA_2023,PEDRA_2024,PEDRA_ORDEM_2022,PEDRA_ORDEM_2023,PEDRA_ORDEM_2024,DELTA_PEDRA_22_23,DELTA_PEDRA_23_24,DELTA_PEDRA_22_24,MOVIMENTO_22_24
RA-631,Ágata,Quartzo,Ágata,2,1.0,2.0,-1.0,1.0,0.0,Manutenção
RA-632,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-633,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-636,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-637,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-638,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-639,Ágata,Ametista,Quartzo,2,3.0,1.0,1.0,-2.0,-1.0,Recuo
RA-642,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-643,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-645,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-646,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-649,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-651,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-652,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-653,Topázio,Ametista,Topázio,4,3.0,4.0,-1.0,1.0,0.0,Manutenção
RA-655,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-656,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-657,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-658,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-662,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-663,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-664,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-665,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-666,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-667,Quartzo,Ágata,Ametista,1,2.0,3.0,1.0,1.0,2.0,Avanço
RA-669,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-670,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-672,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-680,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-681,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
