RA,FASE_NUM,TEMPO_PROGRAMA,IDA,IEG,IAA_MODELO,IPS,IPV,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,STATUS_MODELO,MOTIVO_NAO_ELEGIBILIDADE
RA-546,3,3,4.666666666666667,3.783838383666666,5.832,8.135,5.5,0.9181938503521567,68,93.64,17,92.42,Muito alta,Elegível,
RA-916,0,1,2.75,7.3320158105,8.502,2.51,6.16,0.9181102882698158,69,93.55,20,90.31,Muito alta,Elegível,
RA-1097,3,1,3.0,4.849791144666667,10.002,6.25,5.88,0.9173148104733502,70,93.45,18,91.94,Muito alta,Elegível,
RA-961,1,1,5.5,8.8923395445,9.002,6.26,5.155,0.9173027679624203,71,93.36,18,90.81,Muito alta,Elegível,
RA-905,0,1,3.0,7.7794117645,9.002,7.51,6.99,0.9170461838359134,72,93.26,21,89.8,Muito alta,Elegível,
RA-1130,3,1,4.333333333333333,6.278431372666667,8.751,8.13,5.33,0.9170157980536316,73,93.17,19,91.47,Muito alta,Elegível,
RA-529,2,3,4.25,6.607142857,7.002,4.38,4.886666667,0.91584846900111,74,93.07,14,92.97,Muito alta,Elegível,
RA-1115,2,1,6.25,4.2676767675,8.002,7.51,5.826666667,0.9154983763543791,75,92.98,15,92.43,Muito alta,Elegível,
RA-422,3,2,2.833333333333333,6.157407407333333,7.5,7.51,5.5,0.9149125142548346,76,92.88,20,91.0,Muito alta,Elegível,
RA-1489,2,0,5.0,5.793478261000001,9.002,6.26,5.663333333,0.9148356529432893,77,92.79,16,91.89,Muito alta,Elegível,
RA-1079,3,1,6.333333333333333,4.516498316333333,7.5,2.51,4.1625,0.9135320463591629,78,92.69,21,90.52,Muito alta,Elegível,
RA-606,2,2,3.25,7.613636363499999,8.502,6.885,5.606666667,0.9134923073614667,79,92.6,17,91.35,Muito alta,Elegível,
RA-1470,2,0,5.0,6.35610766,8.002,6.26,5.4125,0.9134841143212032,80,92.5,18,90.81,Muito alta,Elegível,
RA-960,1,1,3.0,8.095238095,0.0,7.51,5.33,0.9125936844602471,81,92.41,19,90.27,Muito alta,Elegível,
RA-774,0,2,3.75,6.3928571430000005,10.002,2.51,6.405,0.9125154274842802,82,92.31,22,89.29,Muito alta,Elegível,
RA-1060,2,1,3.25,6.0,9.585,6.26,6.163333333,0.9113791718001144,83,92.22,19,90.27,Muito alta,Elegível,
RA-973,0,1,3.75,9.318181818,10.002,7.51,6.585,0.9110983086009992,84,92.13,23,88.78,Muito alta,Elegível,
RA-1275,0,0,8.0,8.6666666665,10.002,6.26,5.446666667,0.9109939546167239,85,92.03,24,88.27,Muito alta,Elegível,
RA-792,1,2,3.25,5.2865612650000005,8.502,7.51,7.075,0.9095141198981707,86,91.94,20,89.73,Muito alta,Elegível,
RA-1479,2,0,4.25,6.1965811965,8.502,7.51,6.0325,0.9093957154241459,87,91.84,20,89.73,Muito alta,Elegível,
RA-587,1,2,6.25,7.380952381,9.002,7.51,5.74,0.9091238542239374,88,91.75,21,89.19,Muito alta,Elegível,
RA-801,1,2,8.0,5.75,9.002,7.51,5.745,0.9088065038726206,89,91.65,22,88.65,Muito alta,Elegível,
RA-1379,0,0,7.25,8.6842105265,9.502,3.755,5.16,0.908402250465632,90,91.56,25,87.76,Muito alta,Elegível,
RA-1304,0,0,6.0,7.9575163395,9.002,8.135,6.493333333,0.9071943658251965,91,91.46,26,87.24,Muito alta,Elegível,
RA-1423,1,0,5.75,5.3125,8.502,7.51,6.5425,0.9066953170632011,92,91.37,23,88.11,Muito alta,Elegível,
RA-605,3,3,2.6666666666666665,6.194444444333333,7.5,6.885,5.534,0.9064580064824992,93,91.27,22,90.05,Muito alta,Elegível,
RA-897,0,1,6.0,2.7525252525,7.002,2.51,6.66,0.9061907215873712,94,91.18,27,86.73,Muito alta,Elegível,
RA-643,2,2,4.5,6.8660287085,9.002,7.51,5.826666667,0.9048805992057403,95,91.08,21,89.19,Muito alta,Elegível,
RA-638,2,3,5.0,5.7272727275,8.502,7.51,5.936666667,0.9037080907835752,96,90.99,22,88.65,Muito alta,Elegível,
RA-1425,1,0,7.0,6.7976190475,9.002,7.51,5.92,0.9024022082527736,97,90.89,24,87.57,Muito alta,Elegível,
RA-1015,2,1,4.0,7.8214285715,7.918,7.51,5.66,0.9018321074390374,98,90.8,23,88.11,Muito alta,Elegível,
RA-1548,3,0,4.833333333333333,5.242165242,8.334,7.51,5.665,0.9016449497273642,99,90.7,23,89.57,Muito alta,Elegível,
RA-1346,0,0,5.5,8.0595238095,9.502,7.51,6.66,0.9004417818902406,100,90.61,28,86.22,Muito alta,Elegível,
RA-971,0,1,6.75,7.909090909,7.418,7.51,6.085,0.9001818861907813,101,90.51,29,85.71,Muito alta,Elegível,
RA-956,1,1,3.25,6.017786561,9.502,6.885,7.085,0.8998782873411325,102,90.42,25,87.03,Muito alta,Elegível,
RA-1460,2,0,3.25,7.460526316,9.502,7.51,6.27,0.8974443911428455,103,90.32,24,87.57,Muito alta,Elegível,
RA-681,1,2,2.5,7.840909091,9.502,6.26,6.665,0.8961273821044788,104,90.23,26,86.49,Muito alta,Elegível,
RA-1518,3,2,1.75,5.714285714333333,7.084,9.38,6.5825,0.8951521872490533,105,90.13,24,89.1,Muito alta,Elegível,
RA-918,0,1,2.75,8.697368421,7.918,2.51,6.156666667,0.8934445954976136,106,90.04,30,85.2,Muito alta,Elegível,
RA-331,3,3,3.5,7.735353535333334,8.751,8.755,5.62,0.8920251464163784,107,89.94,25,88.63,Alta,Elegível,
RA-908,0,1,4.75,8.14171123,8.502,7.51,6.83,0.8912245511047763,108,89.85,31,84.69,Alta,Elegível,
